Player,Rating,Chase W/L,Evade W/L,Chase Wins,Evade Wins,Chase Loss,Evade Loss,Chases
Lawrence Pablo,971.3751,0.00,0.00,0,0,1,0,1
Mike Atchley,971.2043,0.00,0.00,0,0,1,0,1
Jeremy Guarino,971.1363,0.67,0.25,4,1,2,3,10
Connor Aultman,971.0876,0.67,0.00,2,0,1,3,6
Sean Higgins,970.9123,0.67,0.00,6,0,3,6,15
Bailey Harter,970.7591,0.80,0.09,8,1,2,10,21
Eric Price,970.6349,0.00,0.00,0,0,1,0,1
Ryan Scott,970.5839,0.00,0.00,0,0,1,0,1
Keve Soares,969.6166,0.00,0.00,0,0,1,0,1
Eduardo Monteiro,969.2988,0.00,0.00,0,0,1,0,1
Christian Sweitzer,969.1337,0.00,0.00,0,0,1,0,1
Jon Gurrola,968.8584,0.00,0.00,0,0,1,0,1
Chris Harmat,968.8201,0.70,0.00,7,0,3,8,18
Justin Naranjo,968.8048,0.00,0.00,0,0,1,0,1
Jakub Hašek,968.6475,0.75,0.00,6,0,2,5,13
Connor Walker,968.5074,0.50,0.00,1,0,1,1,3
Bao Barriere,968.1878,0.00,0.00,0,0,1,1,2
Ale Roca,968.1539,0.00,0.00,0,0,1,0,1
Andy Mouigni Abdou,968.1100,0.60,0.00,3,0,2,3,8
D'Artagnan Sousa,967.9581,0.71,0.00,5,0,2,5,12
Greg Ball,967.5693,0.88,0.00,7,0,1,8,16
Norman Lichtenberg,967.5248,0.75,0.00,3,0,1,4,8
Jan Lange,967.2165,0.00,0.00,0,0,1,0,1
Wade Thomas,967.2015,0.50,0.00,1,0,1,2,4
Arthur Lorian,966.4519,0.50,0.33,3,1,3,2,9
Kazuya Yagi,966.4200,0.57,0.00,4,0,3,4,11
Louis Allan,966.2260,0.67,0.00,6,0,3,6,15
Jornathan Povea-Paceco,966.2094,0.80,0.00,4,0,1,4,9
Emil Sieciechowicz,965.9229,0.50,0.00,3,0,3,2,8
Yuma Nagata ,965.9136,0.67,0.00,4,0,2,5,11
Eli Sell,965.9080,0.44,0.33,4,2,5,4,15
Jacob Peregrine-Wheller,965.1369,0.64,0.20,7,2,4,8,21
Hector Gost Godoy,964.8014,0.67,0.00,4,0,2,4,10
Isaiah Howard,964.6302,0.60,0.25,3,1,2,3,9
Peter McKee,964.4709,0.33,0.00,1,0,2,1,4
Alan Connealy,964.3976,0.00,0.00,0,0,1,0,1
Mike Araujo,964.1531,0.69,0.08,11,1,5,11,28
Shawn Foley,963.6043,0.50,0.25,3,1,3,3,10
Andrea Messner,963.5309,0.00,0.00,0,0,1,1,2
Wenxin Yang,963.1978,0.65,0.13,15,2,8,14,39
Nicodemus Zicari,963.0624,0.62,0.00,8,0,5,8,21
Justin Sweeney,962.7569,0.57,0.00,4,0,3,4,11
Ricardo Farias,962.6369,0.33,0.00,1,0,2,1,4
Jérémy Gagnon,961.7691,0.71,0.00,5,0,2,5,12
Arturo Camarena,961.5389,0.57,0.20,4,1,3,4,12
